#,Zip Code,Location,City,Population,Avg. Income/H/hold,National Rank
1,10577,"41.041731, -73.709727","Purchase, New York",3454,183686,#4
2,10514,"41.172330, -73.768948","Chappaqua, New York",12004,173368,#6
3,11568,"40.786513, -73.598478","Old Westbury, New York",3992,163046,#9
4,10503,"41.025560, -73.874987","Ardsley On Hudson, New York",115,157816,#13
5,10518,"41.277016, -73.602519","Cross River, New York",1552,156190,#14
6,10506,"41.190889, -73.638479","Bedford, New York",5537,153632,#17
7,10576,"41.221577, -73.572332","Pound Ridge, New York",4530,152863,#18
8,13475,"42.866228, -74.853412","Van Hornesville, New York",7,152338,#20
9,11576,"40.803242, -73.637480","Roslyn, New York",11810,134325,#42
10,10510,"41.138997, -73.834891","Briarcliff Manor, New York",9963,131402,#48
11,10504,"41.134968, -73.698635","Armonk, New York",7185,130789,#50
12,10501,"41.288104, -73.759211","Amawalk, New York",843,129692,#54
13,10804,"40.946841, -73.788051","New Rochelle, New York",14131,126480,#66
14,11030,"40.793409, -73.688549","Manhasset, New York",17148,125425,#71
15,11724,"40.856500, -73.452894","Cold Spring Harbor, New York",3040,123973,#76
16,11765,"40.881909, -73.553311","Mill Neck, New York",732,122956,#79
17,11797,"40.820348, -73.472077","Woodbury, New York",9005,122758,#81
18,10583,"40.988682, -73.789204","Scarsdale, New York",39091,122234,#82
19,11020,"40.770007, -73.712974","Great Neck, New York",4043,118019,#99
20,10597,"41.292024, -73.606222","Waccabuc, New York",445,115574,#115
21,10546,"41.203621, -73.796171","Millwood, New York",1224,115207,#117
22,10526,"41.294835, -73.662114","Goldens Bridge, New York",1652,114496,#122
23,10580,"40.978942, -73.693320","Rye, New York",16737,114164,#123
24,10527,"41.321183, -73.769878","Granite Springs, New York",1097,114106,#124
25,10007,"40.713973, -74.008336","New York, New York",3522,112947,#132
26,10538,"40.937865, -73.755930","Larchmont, New York",16780,111492,#142
27,11024,"40.816373, -73.743736","Great Neck, New York",7564,110806,#143
28,10536,"41.296920, -73.729864","Katonah, New York",10612,109542,#151
29,10280,"40.708501, -74.016828","New York, New York",6614,108536,#157
30,10162,"40.769298, -73.949942","New York, New York",1726,108416,#158
31,11753,"40.788668, -73.541676","Jericho, New York",11648,106973,#168
32,10994,"41.098072, -73.972649","West Nyack, New York",6493,106416,#174
33,10502,"41.014059, -73.839744","Ardsley, New York",4935,106027,#177
34,10004,"40.691870, -74.014109","New York, New York",1225,101868,#238
35,10560,"41.340527, -73.597609","North Salem, New York",4941,101484,#244
36,10590,"41.255441, -73.539322","South Salem, New York",7212,101226,#246
37,11545,"40.824966, -73.581551","Glen Head, New York",12073,100210,#265
38,10570,"41.127957, -73.790628","Pleasantville, New York",12366,100196,#266
39,11598,"40.631555, -73.711280","Woodmere, New York",13226,99595,#278
40,11791,"40.829724, -73.498525","Syosset, New York",24445,99280,#281
41,11733,"40.934181, -73.105889","East Setauket, New York",20382,98056,#302
42,11530,"40.728551, -73.631351","Garden City, New York",26482,97918,#303
43,11023,"40.799784, -73.733445","Great Neck, New York",8501,97364,#312
44,11577,"40.784638, -73.640578","Roslyn Heights, New York",12176,97275,#314
45,10533,"41.039478, -73.850709","Irvington, New York",7464,94928,#354
46,10956,"41.156331, -73.994110","New City, New York",31071,94838,#356
47,10607,"41.039089, -73.811368","White Plains, New York",7493,93268,#387
48,11804,"40.766708, -73.451812","Old Bethpage, New York",5014,92090,#412
49,11747,"40.788528, -73.407298","Melville, New York",16152,92024,#414
50,11768,"40.910132, -73.324377","Northport, New York",21676,90630,#441
51,11803,"40.781700, -73.473035","Plainview, New York",27767,90511,#443
52,10803,"40.899532, -73.805883","Pelham, New York",12124,90261,#451
53,11721,"40.892021, -73.370810","Centerport, New York",6218,90193,#455
54,10706,"40.990222, -73.865543","Hastings On Hudson, New York",9187,89952,#461
55,11718,"40.723177, -73.268488","Brightwaters, New York",3061,88554,#496
56,14051,"43.039886, -78.704186","East Amherst, New York",17991,88317,#502
57,10069,"40.775551, -73.989689","New York, New York",1403,88091,#507
58,11557,"40.635065, -73.691343","Hewlett, New York",7966,88075,#508
59,10913,"41.068258, -73.954975","Blauvelt, New York",5076,87866,#516
60,11566,"40.651637, -73.551927","Merrick, New York",35606,87842,#518
61,14534,"43.056890, -77.521042","Pittsford, New York",30270,87126,#549
62,10984,"41.202903, -74.022265","Thiells, New York",2298,87082,#553
63,11743,"40.878517, -73.426767","Huntington, New York",41566,86913,#561
64,11509,"40.587962, -73.729710","Atlantic Beach, New York",2861,86784,#566
65,10964,"41.017211, -73.913870","Palisades, New York",1282,86592,#574
66,10282,"40.717017, -74.015566","New York, New York",1574,86066,#591
67,10598,"41.286807, -73.798823","Yorktown Heights, New York",29368,85990,#592
68,10567,"41.289545, -73.897030","Cortlandt Manor, New York",17805,85227,#611
69,11430,"40.650916, -73.788526","Jamaica, New York",229,85197,#612
70,11766,"40.935097, -73.015864","Mount Sinai, New York",9365,85156,#613
71,11050,"40.839895, -73.693128","Port Washington, New York",28545,85086,#619
72,10594,"41.110366, -73.767887","Thornwood, New York",5460,84403,#642
73,11705,"40.743277, -73.055841","Bayport, New York",8007,83703,#665
74,10605,"41.007018, -73.744338","White Plains, New York",17414,83587,#668
75,10524,"41.375242, -73.926122","Garrison, New York",4232,83329,#677
76,11767,"40.847754, -73.145703","Nesconset, New York",13841,83245,#679
77,11790,"40.903592, -73.131054","Stony Brook, New York",18374,82775,#701
78,10930,"41.361676, -74.113297","Highland Mills, New York",7400,82412,#714
79,11764,"40.934197, -72.975160","Miller Place, New York",11120,82309,#719
80,11565,"40.675062, -73.671934","Malverne, New York",9140,82165,#729
81,11725,"40.840996, -73.280948","Commack, New York",29412,82132,#731
82,11786,"40.944455, -72.886049","Shoreham, New York",5883,82112,#733
83,10987,"41.199212, -74.224545","Tuxedo Park, New York",3148,81940,#741
84,11560,"40.880757, -73.588724","Locust Valley, New York",6815,81746,#753
85,10578,"41.320276, -73.678991","Purdys, New York",661,81605,#757
86,11976,"40.929237, -72.347410","Water Mill, New York",1822,81396,#762
87,10006,"40.707970, -74.013610","New York, New York",1447,81334,#766
88,11960,"40.806462, -72.702460","Remsenburg, New York",822,80466,#816
89,11596,"40.760589, -73.640783","Williston Park, New York",10572,80419,#819
