,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip Code,#,Location,City,Population,Avg. Income/H/hold,National Rank
0,10001.0,170,364,46.7,10001.0,809,"40.750722, -73.997276","New York, New York",17310,40932,"#11,228"
1,10002.0,405,792,51.14,10002.0,1529,"40.715952, -73.985870","New York, New York",84870,24022,"#28,798"
2,10003.0,230,543,42.36,10003.0,271,"40.731856, -73.989145","New York, New York",53673,60891,"#2,796"
3,10004.0,20,45,44.44,10004.0,34,"40.691870, -74.014109","New York, New York",1225,101868,#238
4,10005.0,32,103,31.07,10005.0,96,"40.705390, -74.008988","New York, New York",884,79517,#860
5,10006.0,8,33,24.24,10006.0,87,"40.707970, -74.013610","New York, New York",1447,81334,#766
6,10007.0,30,86,34.88,10007.0,25,"40.713973, -74.008336","New York, New York",3522,112947,#132
7,10009.0,298,662,45.02,10009.0,845,"40.726622, -73.978955","New York, New York",58595,40176,"#11,980"
8,10010.0,133,377,35.28,10010.0,255,"40.739122, -73.982363","New York, New York",26408,62467,"#2,471"
9,10011.0,308,640,48.12,10011.0,260,"40.741844, -74.000711","New York, New York",46669,61986,"#2,569"
10,10012.0,86,241,35.68,10012.0,308,"40.725639, -73.998090","New York, New York",26000,58313,"#3,310"
11,10013.0,131,301,43.52,10013.0,936,"40.720067, -74.004829","New York, New York",25042,38304,"#13,643"
12,10014.0,186,391,47.57,10014.0,205,"40.733471, -74.007098","New York, New York",32667,66601,"#1,931"
13,10016.0,344,814,42.26,10016.0,208,"40.744983, -73.978262","New York, New York",51217,66342,"#1,954"
14,10017.0,74,212,34.91,10017.0,179,"40.752292, -73.972393","New York, New York",16201,69273,"#1,611"
15,10018.0,116,251,46.22,10018.0,522,"40.754969, -73.992126","New York, New York",4255,48705,"#6,447"
16,10019.0,264,616,42.86,10019.0,351,"40.766331, -73.985013","New York, New York",36012,55869,"#3,901"
17,10021.0,295,771,38.26,10021.0,124,"40.769742, -73.961653","New York, New York",102078,75472,"#1,082"
18,10022.0,174,461,37.74,10022.0,90,"40.758615, -73.967752","New York, New York",30642,80406,#820
19,10023.0,269,695,38.71,10023.0,141,"40.775394, -73.982197","New York, New York",62206,72424,"#1,297"
20,10024.0,307,841,36.5,10024.0,109,"40.786307, -73.970694","New York, New York",61414,78066,#935
21,10025.0,433,1084,39.94,10025.0,490,"40.797958, -73.964917","New York, New York",97086,49733,"#6,044"
22,10026.0,220,449,49.0,10026.0,1541,"40.802320, -73.952943","New York, New York",30377,22491,"#29,581"
23,10027.0,327,657,49.77,10027.0,1536,"40.811407, -73.953564","New York, New York",56168,23150,"#29,273"
24,10028.0,257,650,39.54,10028.0,111,"40.776865, -73.954721","New York, New York",44987,77565,#955
25,10029.0,544,1070,50.84,10029.0,1543,"40.792245, -73.945230","New York, New York",75390,22232,"#29,691"
26,10030.0,186,329,56.53,10030.0,1572,"40.818492, -73.943283","New York, New York",25847,17970,"#30,962"
27,10031.0,407,670,60.75,10031.0,1525,"40.825857, -73.949451","New York, New York",60221,24285,"#28,645"
28,10032.0,508,857,59.28,10032.0,1515,"40.839194, -73.942591","New York, New York",63842,26237,"#27,371"
29,10033.0,439,730,60.14,10033.0,1371,"40.849124, -73.935956","New York, New York",58259,31348,"#21,836"
30,10034.0,212,416,50.96,10034.0,1452,"40.869208, -73.921929","New York, New York",41756,29479,"#24,169"
31,10035.0,301,580,51.9,10035.0,1582,"40.795487, -73.929501","New York, New York",32702,14896,"#31,403"
32,10036.0,189,404,46.78,10036.0,805,"40.759614, -73.991148","New York, New York",18751,41002,"#11,152"
