,MODZCTA,Positive,Total,zcta_cum.perc_pos,Zip Code,#,latitude,longitude,Population,Avg. Income/H/hold,National Rank
0,10001,170,364,46.7,10001,809,40.750722,-73.997276,17310,40932,"#11,228"
1,10002,405,792,51.14,10002,1529,40.715952,-73.98587,84870,24022,"#28,798"
2,10003,230,543,42.36,10003,271,40.731856,-73.989145,53673,60891,"#2,796"
3,10004,20,45,44.44,10004,34,40.69187,-74.014109,1225,101868,#238
4,10005,32,103,31.07,10005,96,40.70539,-74.008988,884,79517,#860
5,10006,8,33,24.24,10006,87,40.70797,-74.01361,1447,81334,#766
6,10007,30,86,34.88,10007,25,40.713973,-74.008336,3522,112947,#132
7,10009,298,662,45.02,10009,845,40.726622,-73.978955,58595,40176,"#11,980"
8,10010,133,377,35.28,10010,255,40.739122,-73.982363,26408,62467,"#2,471"
9,10011,308,640,48.12,10011,260,40.741844,-74.000711,46669,61986,"#2,569"
10,10012,86,241,35.68,10012,308,40.725639,-73.99809,26000,58313,"#3,310"
11,10013,131,301,43.52,10013,936,40.720067,-74.004829,25042,38304,"#13,643"
12,10014,186,391,47.57,10014,205,40.733471,-74.007098,32667,66601,"#1,931"
13,10016,344,814,42.26,10016,208,40.744983,-73.978262,51217,66342,"#1,954"
14,10017,74,212,34.91,10017,179,40.752292,-73.972393,16201,69273,"#1,611"
15,10018,116,251,46.22,10018,522,40.754969,-73.992126,4255,48705,"#6,447"
16,10019,264,616,42.86,10019,351,40.766331,-73.985013,36012,55869,"#3,901"
17,10021,295,771,38.26,10021,124,40.769742,-73.961653,102078,75472,"#1,082"
18,10022,174,461,37.74,10022,90,40.758615,-73.967752,30642,80406,#820
19,10023,269,695,38.71,10023,141,40.775394,-73.982197,62206,72424,"#1,297"
20,10024,307,841,36.5,10024,109,40.786307,-73.970694,61414,78066,#935
21,10025,433,1084,39.94,10025,490,40.797958,-73.964917,97086,49733,"#6,044"
22,10026,220,449,49,10026,1541,40.80232,-73.952943,30377,22491,"#29,581"
23,10027,327,657,49.77,10027,1536,40.811407,-73.953564,56168,23150,"#29,273"
24,10028,257,650,39.54,10028,111,40.776865,-73.954721,44987,77565,#955
25,10029,544,1070,50.84,10029,1543,40.792245,-73.94523,75390,22232,"#29,691"
26,10030,186,329,56.53,10030,1572,40.818492,-73.943283,25847,17970,"#30,962"
27,10031,407,670,60.75,10031,1525,40.825857,-73.949451,60221,24285,"#28,645"
28,10032,508,857,59.28,10032,1515,40.839194,-73.942591,63842,26237,"#27,371"
29,10033,439,730,60.14,10033,1371,40.849124,-73.935956,58259,31348,"#21,836"
30,10034,212,416,50.96,10034,1452,40.869208,-73.921929,41756,29479,"#24,169"
31,10035,301,580,51.9,10035,1582,40.795487,-73.929501,32702,14896,"#31,403"
32,10036,189,404,46.78,10036,805,40.759614,-73.991148,18751,41002,"#11,152"
33,10037,146,282,51.77,10037,1509,40.813159,-73.937352,16984,26561,"#27,057"
34,10038,114,238,47.9,10038,1374,40.709336,-74.002943,15574,31316,"#21,877"
35,10039,178,340,52.35,10039,1574,40.826296,-73.937053,21737,17370,"#31,063"
36,10040,329,543,60.59,10040,1485,40.858134,-73.929031,46599,27905,"#25,782"
37,10044,68,155,43.87,10044,482,40.76205,-73.949933,9520,49976,"#5,953"
38,10069,32,81,39.51,10069,57,40.775551,-73.989689,1403,88091,#507
39,10128,306,801,38.2,10128,174,40.781656,-73.950281,59856,70031,"#1,547"
40,10280,23,66,34.85,10280,29,40.708501,-74.016828,6614,108536,#157
41,10282,36,65,55.38,10282,66,40.717017,-74.015566,1574,86066,#591
42,10301,324,592,54.73,10301,607,40.627456,-74.094407,38805,45620,"#8,017"
43,10302,156,297,52.53,10302,721,40.63082,-74.137841,16406,42452,"#9,924"
44,10303,229,448,51.12,10303,719,40.629885,-74.17413,23530,42463,"#9,914"
45,10304,482,899,53.62,10304,802,40.603589,-74.102477,38972,41041,"#11,118"
46,10305,369,798,46.24,10305,513,40.596691,-74.074866,38450,48944,"#6,336"
47,10306,479,1069,44.81,10306,359,40.569755,-74.122141,55698,55413,"#4,025"
48,10307,133,268,49.63,10307,235,40.506815,-74.241709,11669,64159,"#2,247"
49,10308,248,556,44.6,10308,261,40.551236,-74.150961,26451,61868,"#2,588"
50,10309,298,646,46.13,10309,224,40.530847,-74.221178,27207,65397,"#2,093"
51,10310,206,429,48.02,10310,590,40.632516,-74.116461,22852,46198,"#7,658"
52,10312,558,1104,50.54,10312,192,40.547291,-74.179264,58867,67728,"#1,777"
53,10314,839,1690,49.64,10314,296,40.598825,-74.163336,84821,59560,"#3,100"
54,10451,476,849,56.07,10451,1562,40.822092,-73.922612,40961,20307,"#30,451"
55,10452,698,1107,63.05,10452,1558,40.837763,-73.923314,72138,20606,"#30,359"
56,10453,734,1194,61.47,10453,1554,40.852779,-73.912332,76775,21109,"#30,192"
57,10454,336,571,58.84,10454,1584,40.805528,-73.916632,34976,14271,"#31,472"
58,10455,326,584,55.82,10455,1566,40.814678,-73.908333,37465,19389,"#30,688"
59,10456,741,1253,59.14,10456,1578,40.830877,-73.907954,76656,16664,"#31,194"
60,10457,644,1062,60.64,10457,1567,40.846687,-73.898374,69048,19233,"#30,729"
61,10458,631,1114,56.64,10458,1545,40.862831,-73.886395,77840,22072,"#29,779"
62,10459,440,764,57.59,10459,1573,40.825558,-73.893156,39080,17498,"#31,042"
63,10460,467,831,56.2,10460,1564,40.842724,-73.879745,53707,19517,"#30,656"
64,10461,653,1194,54.69,10461,852,40.847409,-73.841403,49808,40024,"#12,112"
65,10462,765,1387,55.16,10462,1248,40.842823,-73.858861,72077,33735,"#18,940"
66,10463,486,1089,44.63,10463,831,40.880678,-73.90654,65576,40497,"#11,626"
67,10464,43,107,40.19,10464,322,40.867099,-73.797609,4634,57458,"#3,498"
68,10465,552,1129,48.89,10465,605,40.826285,-73.822762,42500,45650,"#7,988"
69,10466,737,1265,58.26,10466,1012,40.891039,-73.847226,68787,37141,"#14,795"
70,10467,1142,1942,58.81,10467,1466,40.87742,-73.872597,94342,29044,"#24,626"
71,10468,765,1174,65.16,10468,1504,40.868093,-73.89973,78309,26852,"#26,795"
72,10469,925,1531,60.42,10469,745,40.867849,-73.84514,63345,42102,"#10,232"
73,10470,156,286,54.55,10470,930,40.900965,-73.863998,15780,38464,"#13,496"
74,10471,183,440,41.59,10471,341,40.898117,-73.900227,23413,56488,"#3,755"
75,10472,582,926,62.85,10472,1535,40.82965,-73.869368,64867,23565,"#29,061"
76,10473,638,1101,57.95,10473,1487,40.817685,-73.858576,56166,27733,"#25,921"
77,10474,97,157,61.78,10474,1579,40.810203,-73.884437,11354,16339,"#31,233"
78,10475,520,887,58.62,10475,829,40.875266,-73.826037,38086,40528,"#11,597"
79,11429,381,542,70.3,11429,384,40.709681,-73.738399,27647,54467,"#4,274"
80,11004,239,367,65.12,11004,365,40.745809,-73.71124,14682,55156,"#4,105"
81,11101,258,520,49.62,11101,1468,40.74697,-73.93753,25595,28872,"#24,793"
82,11102,214,404,52.97,11102,1151,40.772884,-73.926295,36291,35078,"#17,427"
83,11103,190,350,54.29,11103,928,40.762634,-73.913156,44321,38482,"#13,478"
84,11104,178,308,57.79,11104,962,40.744515,-73.920457,29506,37962,"#13,965"
85,11105,186,377,49.34,11105,921,40.778997,-73.906847,42117,38674,"#13,303"
86,11106,234,457,51.2,11106,1180,40.762211,-73.931528,43130,34651,"#17,874"
87,11201,285,700,40.71,11201,345,40.693682,-73.989693,47746,56293,"#3,797"
88,11203,642,1017,63.13,11203,993,40.649411,-73.934397,84498,37341,"#14,554"
89,11204,908,1456,62.36,11204,1345,40.618675,-73.984893,74880,31798,"#21,264"
90,11205,317,581,54.56,11205,1478,40.696771,-73.967061,35622,28070,"#25,611"
91,11206,536,945,56.72,11206,1568,40.702037,-73.942444,69032,18661,"#30,855"
92,11207,658,1087,60.53,11207,1527,40.670361,-73.893848,86551,24163,"#28,725"
93,11208,713,1100,64.82,11208,1500,40.669598,-73.87127,87165,27078,"#26,567"
94,11209,419,848,49.41,11209,643,40.622352,-74.030431,69840,44518,"#8,642"
95,11210,663,1083,61.22,11210,699,40.628049,-73.946278,62308,42967,"#9,570"
96,11211,948,1490,63.62,11211,1534,40.713507,-73.952578,85089,23567,"#29,060"
97,11212,584,920,63.48,11212,1555,40.662907,-73.912969,85161,20839,"#30,267"
98,11213,615,1002,61.38,11213,1513,40.671034,-73.936357,65440,26366,"#27,211"
99,11214,493,933,52.84,11214,1239,40.598668,-73.996212,83546,33765,"#18,811"
100,11215,265,619,42.81,11215,405,40.662688,-73.98674,63001,53313,"#4,593"
101,11216,278,525,52.95,11216,1521,40.680854,-73.949144,55775,25135,"#28,138"
102,11217,228,447,51.01,11217,493,40.682306,-73.978099,35353,49567,"#6,101"
103,11218,703,1186,59.27,11218,1062,40.643783,-73.975954,74611,36432,"#15,613"
104,11219,1314,1908,68.87,11219,1508,40.632769,-73.996642,85987,26648,"#26,983"
105,11220,556,893,62.26,11220,1437,40.641307,-74.016251,92718,30152,"#23,452"
106,11221,462,779,59.31,11221,1542,40.69131,-73.927772,76363,22305,"#29,664"
107,11222,177,392,45.15,11222,1257,40.728367,-73.945427,39360,33578,"#19,069"
108,11223,618,1118,55.28,11223,1320,40.597427,-73.973039,77691,32104,"#20,837"
109,11224,296,534,55.43,11224,1551,40.577257,-73.989762,51205,21281,"#30,108"
110,11225,450,716,62.85,11225,1436,40.662236,-73.958951,63774,30192,"#23,403"
111,11226,639,1032,61.92,11226,1451,40.64643,-73.956866,106154,29498,"#24,156"
112,11228,229,421,54.39,11228,629,40.616863,-74.013196,41172,44932,"#8,418"
113,11229,565,1053,53.66,11229,973,40.601293,-73.944493,80554,37812,"#14,105"
114,11230,1054,1670,63.11,11230,1313,40.622104,-73.965118,88933,32327,"#20,516"
115,11231,191,394,48.48,11231,624,40.677916,-74.005154,32974,45154,"#8,286"
116,11232,193,304,63.49,11232,1474,40.655827,-74.006829,27723,28395,"#25,283"
117,11233,412,691,59.62,11233,1540,40.678089,-73.919867,61955,22754,"#29,457"
118,11234,759,1287,58.97,11234,443,40.61254,-73.894255,86898,51446,"#5,264"
119,11235,588,1111,52.93,11235,1390,40.583552,-73.9479,77451,31013,"#22,300"
120,11236,871,1376,63.3,11236,728,40.639761,-73.90064,96301,42370,"#9,991"
121,11237,320,485,65.98,11237,1538,40.70416,-73.921139,48910,23104,"#29,310"
122,11238,339,611,55.48,11238,856,40.678424,-73.963874,48965,39917,"#12,200"
123,11239,172,267,64.42,11239,1576,40.644728,-73.879186,14620,16919,"#31,156"
124,11357,323,570,56.67,11357,370,40.786415,-73.810924,39491,54910,"#4,168"
125,11355,412,653,63.09,11355,1025,40.750123,-73.820977,83281,36973,"#14,988"
126,11354,297,508,58.46,11354,1009,40.768208,-73.827403,54329,37155,"#14,769"
127,11356,205,378,54.23,11356,521,40.78481,-73.841165,20444,48738,"#6,440"
128,11358,205,407,50.37,11358,450,40.760467,-73.796418,38647,51242,"#5,380"
129,11360,118,265,44.53,11360,302,40.782352,-73.780749,19350,58803,"#3,221"
130,11361,178,318,55.97,11361,363,40.76437,-73.771869,29206,55250,"#4,084"
131,11362,124,257,48.25,11362,270,40.758401,-73.73342,17502,61053,"#2,759"
132,11363,52,114,45.61,11363,193,40.772591,-73.746472,6917,67550,"#1,801"
